Position,Artist,Song Title
1,Lil Nas X feat. Billy Ray Cyrus,Old Town Road
2,Post Malone & Swae Lee,Sunflower
3,Halsey,Without Me
4,Billie Eilish,Bad Guy
5,Post Malone,Wow.
6,Marshmello and Bastille,Happier
7,Ariana Grande,7 Rings
8,Khalid,Talk
9,Travis Scott,Sicko Mode
10,Jonas Brothers,Sucker
11,Panic! at the Disco,High Hopes
12,Ariana Grande,Thank U, Next
13,Lizzo,Truth Hurts
14,Sam Smith and Normani,Dancing with a Stranger
15,Shawn Mendes and Camila Cabello, Señorita
16,Ed Sheeran and Justin Bieber,I Don't Care
17,"Benny Blanco, Halsey and Khalid",Eastside
18,Meek Mill featuring Drake,Going Bad
19,Lady Gaga and Bradley Cooper,Shallow
20,Khalid,Better
21,Chris Brown featuring Drake,No Guidance
22,Maroon 5 featuring Cardi B,Girls Like You
23,Ava Max,Sweet but Psycho
24,DaBaby,Suge
25,J. Cole,Middle Child
26,Lil Baby and Gunna,Drip Too Hard
27,Lewis Capaldi,Someone You Loved
28,Lil Tecca,Ransom
29,Shawn Mendes,If I Can't Have You
30,Post Malone featuring Young Thug,Goodbyes
31,Kodak Black featuring Travis Scott and Offset,Zeze
32,Post Malone,Better Now
33,5 Seconds of Summer,Youngblood
34,Drake featuring Rick Ross,Money in the Grave
35,Dan + Shay,Speechless
36,"Ariana Grande,Break Up with Your Girlfriend", I'm Bored
37,Cardi B and Bruno Mars,Please Me
38,Cardi B,Money
39,Taylor Swift,You Need to Calm Down
40,Lil Nas X,Panini
41,A Boogie wit da Hoodie,Look Back at It
42,21 Savage,A Lot
43,Taylor Swift featuring Brendon Urie,Me!
44,Bad Bunny featuring Drake,Mia
45,Polo G featuring Lil Tjay,Pop Out
46,Luke Combs,Beautiful Crazy
47,Blueface,Thotiana
48,Juice Wrld,Lucid Dreams
49,Sheck Wes,Mo Bamba
50,Ed Sheeran featuring Khalid,Beautiful People
51,"Gucci Mane, Bruno Mars and Kodak Black",Wake Up in the Sky
52,Morgan Wallen,Whiskey Glasses
53,Blake Shelton,God's Country
54,Dean Lewis,Be Alright
55,Mustard and Migos,Pure Water
56,Blanco Brown,The Git Up
57,"DJ Snake featuring Selena Gomez, Ozuna and Cardi B",Taki Taki
58,Ellie Goulding and Diplo featuring Swae Lee,Close to Me
59,Calboy,Envy Me
60,Lauren Daigle,You Say
61,"Panic! at the Disco,Hey Look Ma",I Made It
62,Post Malone,Circles
63,Luke Combs,Beer Never Broke My Heart
64,"Young Thug, J. Cole and Travis Scott",The London
65,Daddy Yankee and Katy Perry featuring Snow,Con Calma
66,YNW Melly,Murder on My Mind
67,Billie Eilish,When the Party's Over
68,City Girls,Act Up
69,"Cardi B, Bad Bunny and J Balvin",I Like It
70,Shaed,Trampoline
71,Flipp Dinero,Leave Me Alone
72,Ariana Grande,Breathin
73,Billie Eilish,Bury a Friend
74,Lil Baby,Close Friends
75,Pinkfong,Baby Shark
76,Saweetie,My Type
77,YK Osiris,Worth It
78,Jonas Brothers,Only Human
79,Luke Bryan,Knockin' Boots
80,Ella Mai,Trip
81,Lee Brice,Rumor
82,A Boogie wit da Hoodie featuring 6ix9ine,Swervin
83,Sam Smith,How Do You Sleep?
84,Lil Baby and DaBaby,Baby
85,Thomas Rhett,Look What God Gave Her
86,Kane Brown,Good as You
87,Offset featuring Cardi B,Clout
88,Khalid and Normani,Love Lies
89,Marshmello and Kane Brown,One Thing Right
90,Megan Thee Stallion featuring DaBaby,Cash Shit
91,Dan + Shay,Tequila
92,NLE Choppa,Shotta Flow
93,Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign,Hot Girl Summer
94,Florida Georgia Line,Talk You Out of It
95,Bazzi featuring Camila Cabello,Beautiful
96,Chase Rice,Eyes on You
97,Dan + Shay,All to Myself
98,Ariana Grande and Social House,Boyfriend
99,Pink,Walk Me Home
100,Juice Wrld,Robbery
