Position,Artist,Song Title
1,Dua Lipa,Levitating
2,The Weeknd and Ariana Grande,Save Your Tears
3,The Weeknd,Blinding Lights
4,24kGoldn featuring Iann Dior,Mood
5,Olivia Rodrigo,Good 4 U
6,Doja Cat featuring SZA,Kiss Me More
7,Silk Sonic (Bruno Mars and Anderson .Paak),Leave the Door Open
8,Olivia Rodrigo,Drivers License
9,Lil Nas X,Montero (Call Me by Your Name)
10,Justin Bieber featuring Daniel Caesar and Giveon,Peaches
11,BTS,Butter
12,The Kid Laroi and Justin Bieber,Stay
13,Olivia Rodrigo,Deja Vu
14,Ariana Grande,Positions
15,Ed Sheeran,Bad Habits
16,Glass Animals,Heat Waves
17,The Kid Laroi,Without You
18,Luke Combs,Forever After All
19,Chris Brown and Young Thug,Go Crazy
20,Masked Wolf,Astronaut in the Ocean
21,Ariana Grande featuring Doja Cat and Megan Thee Stallion,34+35
22,Pop Smoke,What You Know Bout Love
23,Machine Gun Kelly featuring Blackbear,My Ex's Best Friend
24,Lil Nas X and Jack Harlow,Industry Baby
25,Billie Eilish,Therefore I Am
26,Cardi B,Up
27,Walker Hayes,Fancy Like
28,Bad Bunny and Jhay Cortez,Dakiti
29,Saweetie featuring Doja Cat,Best Friend
30,Polo G,Rapstar
31,Giveon,Heartbreak Anniversary
32,Pop Smoke featuring Lil Baby and DaBaby,For the Night
33,Lil Tjay and 6lack,Calling My Phone
34,Maroon 5 featuring Megan Thee Stallion,Beautiful Mistakes
35,Justin Bieber featuring Chance the Rapper,Holy
36,Lil Baby,On Me
37,Tate McRae,You Broke Me First
38,Olivia Rodrigo,Traitor
39,Pooh Shiesty featuring Lil Durk,Back in Blood
40,Gabby Barrett featuring Charlie Puth,I Hope
41,BTS,Dynamite
42,Moneybagg Yo,Wockesha
43,Doja Cat and the Weeknd,You Right
44,SpotemGottem featuring Pooh Shiesty or DaBaby,Beat Box
45,Drake featuring Lil Durk,Laugh Now Cry Later
46,Doja Cat,Need to Know
47,Drake featuring Lil Baby,Wants and Needs
48,Drake featuring Future and Young Thug,Way 2 Sexy
49,Kali Uchis,telepatía
50,CJ,Whoopty
51,Internet Money and Gunna featuring Don Toliver and Nav,Lemonade
52,SZA,Good Days
53,Chris Stapleton,Starting Over
54,Megan Thee Stallion,Body
55,Taylor Swift,Willow
56,AJR,Bang!
57,Luke Combs,Better Together
58,Yung Bleu featuring Drake,You're Mines Still
59,DJ Khaled featuring Lil Baby and Lil Durk,Every Chance I Get
60,Wizkid featuring Justin Bieber and Tems,Essence
61,Ryan Hurd and Maren Morris,Chasing After You
62,Gabby Barrett,The Good Ones
63,Marshmello and Jonas Brothers,Leave Before You Love Me
64,Dan + Shay,Glad You Exist
65,Justin Bieber and Benny Blanco,Lonely
66,Måneskin,Beggin'
67,Doja Cat,Streets
68,Drake,What's Next
69,Chris Young and Kane Brown,Famous Friends
70,Nelly and Florida Georgia Line,Lil Bit
71,Megan Thee Stallion,Thot Shit
72,Roddy Ricch,Late at Night
73,Ava Max,Kings & Queens
74,Justin Bieber,Anyone
75,Mooski,Track Star
76,Moneybagg Yo,Time Today
77,Megan Thee Stallion featuring DaBaby,Cry Baby
78,Mariah Carey,All I Want for Christmas Is You
79,Coi Leray featuring Lil Durk,No More Parties
80,Thomas Rhett,What's Your Country Song
81,Keith Urban and Pink,One Too Many
82,Duncan Laurence,Arcade
83,Bad Bunny,Yonaguni
84,Niko Moon,Good Time
85,Jason Aldean and Carrie Underwood,If I Didn't Love You
86,Drake featuring 21 Savage and Project Pat,Knife Talk
87,Ariana Grande,POV
88,Parmalee and Blanco Brown,Just the Way
89,The Weeknd,Take My Breath
90,Dua Lipa,We're Good
91,Eric Church,Hell of a View
92,Brenda Lee,Rockin' Around the Christmas Tree
93,Ritt Momney,Put Your Records On
94,Billie Eilish,Happier Than Ever
95,Cole Swindell,Single Saturday Night
96,Lainey Wilson,Things a Man Oughta Know
97,BRS Kash,Throat Baby (Go Baby)
98,Rod Wave,Tombstone
99,Chase Rice featuring Florida Georgia Line,Drinkin' Beer. Talkin' God. Amen.
100,Rauw Alejandro,Todo de Ti
