Position,Artist,Song Title
1,Glass Animals,Heat Waves
2,Harry Styles,As It Was
3,The Kid Laroi and Justin Bieber,Stay
4,Adele,Easy on Me
5,Ed Sheeran,Shivers
6,Jack Harlow,First Class
7,Latto,Big Energy
8,Justin Bieber,Ghost
9,Kodak Black,Super Gremlin
10,Elton John and Dua Lipa,Cold Heart (Pnau remix)
11,Future featuring Drake and Tems,Wait for U
12,Lizzo,About Damn Time
13,Ed Sheeran,Bad Habits
14,Lil Nas X,Thats What I Want
15,Imagine Dragons and JID,Enemy
16,Lil Nas X and Jack Harlow,Industry Baby
17,Gayle,ABCDEFU
18,Doja Cat,Need to Know
19,Morgan Wallen,Wasted on You
20,Bad Bunny and Chencho Corleone,Me Porto Bonito
21,Doja Cat,Woman
22,Bad Bunny,Tití me preguntó
23,Kate Bush,Running Up That Hill (A Deal with God)
24,"Carolina Gaitán, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz and the Encanto cast",We Don't Talk About Bruno
25,Harry Styles,Late Night Talking
26,Post Malone featuring Doja Cat,I Like You (A Happier Song)
27,Morgan Wallen,You Proof
28,Steve Lacy,Bad Habit
29,Nicky Youre and Dazy,Sunroof
30,Post Malone and the Weeknd,One Right Now
31,Olivia Rodrigo,Good 4 U
32,Em Beihold,Numb Little Bug
33,Drake featuring 21 Savage,Jimmy Cooks
34,Cody Johnson,'Til You Can't
35,Walker Hayes,Fancy Like
36,Luke Combs,The Kind of Love We Make
37,OneRepublic,I Ain't Worried
38,Beyonce,Break My Soul
39,Zach Bryan,Something in the Orange
40,The Weeknd and Ariana Grande,Save Your Tears
41,Silk Sonic (Bruno Mars and Anderson .Paak),Smokin out the Window
42,Dua Lipa,Levitating
43,Lil Baby,In a Minute
44,Bad Bunny,Moscow Mule
45,Doja Cat and the Weeknd,You Right
46,Cole Swindell,She Had Me at Heads Carolina
47,Doja Cat,Vegas
48,Gunna and Future featuring Young Thug,Pushin P
49,Jordan Davis and Luke Bryan,Buy Dirt
50,SZA,I Hate U
51,Dove Cameron,Boyfriend
52,Joji,Glimpse of Us
53,Jessica Darrow,Surface Pressure
54,Bailey Zimmerman,Fall in Love
55,CKay,Love Nwantiti (Ah Ah Ah)
56,Nicki Minaj,Super Freaky Girl
57,Muni Long,Hrs and Hrs
58,Morgan Wallen,Sand in My Boots
59,Becky G and Karol G,Mamiii
60,Drake featuring 21 Savage and Project Pat,Knife Talk
61,Walker Hayes,AA
62,Megan Thee Stallion and Dua Lipa,Sweetest Pie
63,Karol G,Provenza
64,Wizkid featuring Justin Bieber and Tems,Essence
65,Mariah Carey,All I Want for Christmas Is You
66,Camila Cabello featuring Ed Sheeran,Bam Bam
67,Tyler Hubbard,5 Foot 9
68,Doja Cat,Get Into It (Yuh)
69,Bad Bunny,Efecto
70,Bailey Zimmerman,Rock and a Hard Place
71,Luke Combs,Doin' This
72,Adele,Oh My God
73,"Neiked, Mae Muller and Polo G",Better Days
74,The Anxiety: Willow and Tyler Cole,Meet Me at Our Spot
75,Lauren Spencer-Smith,Fingers Crossed
76,Taylor Swift,All Too Well (Taylor's Version)
77,Bad Bunny and Rauw Alejandro,Party
78,Bad Bunny,Después de la playa
79,Chris Stapleton,You Should Probably Leave
80,Brenda Lee,Rockin' Around the Christmas Tree
81,Lil Durk featuring Morgan Wallen,Broadway Girls
82,Parmalee,Take My Name
83,Lil Durk featuring Gunna,What Happened to Virgil
84,Future,Puffin on Zootiez
85,Kane Brown,Like I Love Country Music
86,Bobby Helms,Jingle Bell Rock
87,Bad Bunny and Bomba Estéreo,Ojitos Lindos
88,Jason Aldean,Trouble with a Heartbreak
89,Burl Ives,A Holly Jolly Christmas
90,Doja Cat featuring SZA,Kiss Me More
91,Russell Dickerson featuring Jake Scott,She Likes It
92,Cole Swindell and Lainey Wilson,Never Say Never
93,Scotty McCreery,Damn Strait
94,Tate McRae,She's All I Wanna Be
95,Jon Pardi,Last Night Lonely
96,Ernest featuring Morgan Wallen,Flower Shops
97,Jnr Choi and Sam Tompkins,To the Moon
98,Sam Smith and Kim Petras,Unholy
99,Kane Brown,One Mississippi
100,Maren Morris,Circles Around This Town
