Position,Artist,Song Title
1,Ed Sheeran,Shape Of You
2,Luis Fonsi,Despacito
3,Bruno Mars,That's What I Like
4,Kendrick Lamar,Humble.
5,The Chainsmokers,Something Just Like This
6,Migos,Bad And Boujee
7,The Chainsmokers,Closer
8,Sam Hunt,Body Like A Back Road
9,Imagine Dragons,Believer
10,Post Malone,Congratulations
