Position,Artist,Song Title
1,The Weeknd,Blinding Lights
2,Post Malone,Circles
3,Roddy Ricch,The Box
4,Dua Lipa,Don't Start Now
5,DaBaby featuring Roddy Ricch,Rockstar
6,Harry Styles,Adore You
7,Future featuring Drake,Life Is Good
8,Maroon 5,Memories
9,Maren Morris,The Bones
10,Lewis Capaldi,Someone You Loved
11,Doja Cat,Say So
12,Gabby Barrett featuring Charlie Puth,I Hope
13,"Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayne",Whats Poppin
14,Tones and I,Dance Monkey
15,Megan Thee Stallion featuring Beyonce,Savage
16,Arizona Zervas,Roxanne
17,Justin Bieber featuring Quavo,Intentions
18,Billie Eilish,Everything I Wanted
19,Saint Jhn,Roses (Imanbek remix)
20,Harry Styles,Watermelon Sugar
21,Lewis Capaldi,Before You Go
22,Trevor Daniel,Falling
23,Dan + Shay and Justin Bieber,10,000 Hours
24,Cardi B featuring Megan Thee Stallion,WAP
25,Mustard and Roddy Ricch,Ballin'
26,Blackbear,Hot Girl Bummer
27,Lil Mosey,Blueberry Faygo
28,The Weeknd,Heartless
29,DaBaby,Bop
30,Selena Gomez,Lose You to Love Me
31,Lizzo,Good as Hell
32,Drake,Toosie Slide
33,Dua Lipa,Break My Heart
34,Morgan Wallen,Chasin' You
35,Jawsh 685 and Jason Derulo,Savage Love (Laxed - Sired Beat)
36,Chris Brown featuring Drake,No Guidance
37,Camila Cabello featuring DaBaby,My Oh My
38,BTS,Dynamite
39,Chris Brown and Young Thug,Go Crazy
40,Roddy Ricch featuring Mustard,High Fashion
41,Drake featuring Lil Durk,Laugh Now Cry Later
42,Lil Baby,Woah
43,Powfu featuring Beabadoobee,Death Bed
44,Shawn Mendes and Camila Cabello,Señorita
45,Travis Scott,Highest in the Room
46,Billie Eilish,Bad Guy
47,24kGoldn featuring Iann Dior,Mood
48,Lady Gaga and Ariana Grande,Rain on Me
49,Pop Smoke featuring Lil Baby and DaBaby,For the Night
50,Black Eyed Peas and J Balvin,Ritmo (Bad Boys for Life)
51,Rod Wave,Heart on Ice
52,Blake Shelton and Gwen Stefani,Nobody but You
53,Shaed,Trampoline
54,Juice Wrld and Marshmello,Come & Go
55,Lizzo,Truth Hurts
56,JP Saxe featuring Julia Michaels,If the World Was Ending
57,Lil Baby and 42 Dugg,We Paid
58,Justin Bieber,Yummy
59,Old Dominion,One Man Band
60,Jason Aldean,Got What I Got
61,Surfaces,Sunday Best
62,Eminem featuring Juice Wrld,Godzilla
63,Juice Wrld and YoungBoy Never Broke Again,Bandit
64,StaySolidRocky,Party Girl
65,Maddie & Tae,Die from a Broken Heart
66,DJ Khaled featuring Drake,Popstar
67,Mariah Carey,All I Want for Christmas Is You
68,Lee Brice,One of Them Girls
69,Sam Hunt,Hard to Forget
70,Luke Bryan,One Margarita
71,Lil Nas X,Panini
72,Young Thug featuring Gunna,Hot
73,Carly Pearce and Lee Brice,I Hope You're Happy Now
74,Lil Baby,Emotionally Scarred
75,YNW Melly featuring Juice Wrld,Suicidal
76,Lil Baby,The Bigger Picture
77,Jonas Brothers,Only Human
78,Pop Smoke featuring 50 Cent and Roddy Ricch,The Woo
79,Lil Baby,Sum 2 Prove
80,Ariana Grande and Justin Bieber,Stuck with U
81,Pop Smoke featuring Lil Tjay,Mood Swings
82,Halsey,You Should Be Sad
83,Pop Smoke,Dior
84,Benee featuring Gus Dapperton,Supalonely
85,Luke Combs,Even Though I'm Leaving
86,The Scotts (Travis Scott and Kid Cudi),The Scotts
87,Doja Cat and Tyga,Juicy
88,"Kane Brown, Swae Lee and Khalid",Be Like That
89,Kane Brown,Homesick
90,Rod Wave featuring ATR Son Son,Rags2Riches
91,Miranda Lambert,Bluebird
92,Juice Wrld,Wishing Well
93,Luke Combs featuring Eric Church,Does to Me
94,Jhené Aiko,Pussy Fairy (OTW)
95,Surf Mesa featuring Emilee,ILY (I Love You Baby)
96,Morgan Wallen,More Than My Hometown
97,Luke Combs,Lovin' on You
98,Moneybagg Yo,Said Sum
99,H.E.R. featuring YG,Slide
100,NLE Choppa featuring Roddy Ricch,Walk Em Down
